	1	3	3	3	3	4	4	6	5	4	3	2	3	3	3	4	5	5	3	4	3	2	2	2	2	2	4	5	4	5	3	2	2	2	2	3	2	4	4	3	2	2	1	1	2	2	3	3	4	3	1	2	1	2	2	2	2	1	2	2	1	3	2	2	2	3	2	2	1	3	2	3	2	1	3	2	1	3	2	1	1	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1
	1	3	3	3	4	4	4	6	5	4	3	2	3	3	3	4	6	5	3	4	3	2	2	2	2	3	4	5	4	5	3	2	2	2	2	3	2	4	4	3	2	2	1	1	2	2	3	3	4	3	1	2	1	2	3	2	2	1	2	2	2	3	2	2	2	3	2	2	2	3	2	3	2	2	3	2	2	3	2	1	1	2	2	2	2	2	2	2	2	3	1	2	1	2	1	1	1	1	1	1
	1	3	3	4	4	4	4	6	5	4	3	2	3	3	3	4	6	5	3	4	3	2	2	2	3	3	5	5	4	5	3	2	2	2	2	3	2	4	4	3	2	2	1	1	3	2	3	3	4	3	2	2	1	2	3	2	2	2	2	2	2	3	2	2	3	3	2	2	2	3	2	3	2	2	3	3	2	3	2	2	1	2	2	2	2	2	2	2	2	3	1	2	1	2	2	1	1	1	1	1
	1	3	4	4	4	4	4	6	5	4	3	2	3	4	3	4	6	5	3	4	3	2	2	2	3	4	5	5	4	5	3	2	2	2	2	3	2	4	4	3	3	2	1	2	3	2	3	4	4	3	2	2	1	3	3	2	2	2	2	2	2	3	2	2	3	4	2	2	2	4	2	3	2	2	3	3	2	3	2	2	1	2	2	2	2	3	2	2	2	3	1	2	1	2	2	1	1	1	1	1
	1	3	4	4	4	4	4	6	5	4	3	3	4	4	3	4	6	5	3	4	3	2	2	2	4	4	5	5	4	5	4	2	3	2	2	3	3	4	4	3	3	2	1	2	3	2	3	4	4	3	2	2	2	3	4	2	2	2	2	2	2	3	2	2	3	4	2	2	3	4	2	3	2	2	3	4	2	3	2	2	1	2	2	2	2	3	2	2	2	3	1	2	1	2	2	1	1	1	1	1
	1	4	4	4	4	4	4	6	5	4	3	3	4	5	3	4	6	5	3	4	4	2	3	2	4	4	6	5	4	5	4	3	3	2	2	3	3	4	4	3	3	2	1	2	4	2	3	4	4	3	2	2	2	3	4	2	2	3	2	2	2	3	3	2	3	4	3	2	3	4	2	3	2	2	3	4	2	3	2	2	1	2	2	2	2	3	2	2	2	3	1	2	1	2	2	1	1	1	1	1
	2	4	4	4	4	4	4	6	5	4	4	3	5	5	3	5	6	5	3	4	4	3	3	2	4	4	6	5	4	5	5	3	3	2	2	3	3	4	4	3	3	2	1	3	4	2	3	5	4	3	2	2	2	3	4	2	2	3	2	2	2	4	3	2	3	4	3	3	3	4	2	3	2	2	3	4	2	3	2	2	1	2	2	2	2	3	2	2	2	3	1	2	1	2	2	1	1	1	1	1
	2	5	5	4	4	4	4	6	5	4	4	4	5	5	4	5	6	5	3	4	5	4	3	2	4	4	6	5	4	5	5	3	4	2	2	3	4	4	4	3	3	2	1	3	4	2	3	5	4	3	3	2	2	3	4	2	2	3	2	2	2	4	3	2	3	4	3	3	3	4	2	3	2	2	3	4	3	3	2	2	1	2	2	2	2	3	2	2	2	3	1	2	1	2	2	1	1	1	1	1
	2	5	5	5	4	5	4	6	5	4	5	5	5	5	4	5	6	5	3	4	5	4	4	2	4	4	7	5	4	5	6	4	4	2	2	3	4	4	4	3	4	2	1	3	4	2	3	5	4	3	3	2	2	3	4	2	2	3	2	2	2	4	3	2	3	4	3	3	3	4	2	3	2	2	3	4	3	4	2	2	1	2	2	2	2	3	2	2	2	3	1	2	1	2	2	1	1	1	1	1
	3	5	5	5	5	5	5	6	5	4	5	5	6	5	4	6	6	5	3	4	5	4	4	3	4	4	7	5	4	5	6	4	4	2	2	3	4	4	4	3	4	3	2	3	4	2	3	5	4	3	4	2	2	3	4	2	2	3	2	2	2	4	3	2	3	4	3	3	4	4	2	3	2	2	3	4	3	4	2	2	1	2	2	2	2	3	2	2	2	3	1	2	1	2	2	1	1	1	1	1
	3	6	5	6	5	5	5	7	5	4	5	5	6	5	5	6	7	5	3	4	5	4	4	3	4	4	7	5	4	5	6	4	4	3	2	3	4	4	4	3	4	3	2	3	4	2	3	5	4	3	4	3	3	3	4	2	2	4	2	2	3	4	3	2	3	4	3	3	4	4	2	3	2	2	3	4	3	4	2	2	1	2	2	2	2	3	2	2	2	3	1	2	1	2	2	1	1	1	1	1
	3	6	6	6	6	5	5	7	6	4	5	5	6	5	5	7	7	6	3	4	5	4	4	3	4	4	7	5	4	5	6	4	4	3	3	3	4	4	4	3	4	3	2	3	4	2	3	6	4	3	4	3	3	3	4	2	2	4	2	2	3	5	3	3	3	4	3	3	4	4	3	3	2	2	3	4	3	4	2	2	1	2	2	2	2	3	2	2	2	3	1	2	1	2	2	1	1	1	1	1
	3	6	6	7	6	5	6	7	6	4	5	5	6	5	6	7	7	6	4	4	5	4	4	3	4	4	7	6	4	5	6	4	4	3	3	4	5	4	4	3	4	3	2	3	4	2	3	6	4	3	4	3	3	3	4	2	2	4	2	2	3	5	3	3	3	4	3	3	4	4	3	4	3	2	3	4	3	4	2	2	2	2	2	2	2	3	2	2	2	3	1	2	1	2	2	1	1	1	1	1
	3	6	6	7	7	6	6	7	6	5	5	5	6	5	6	8	7	6	4	4	5	4	4	3	4	4	7	6	4	5	6	4	4	3	3	4	5	5	4	3	4	3	2	3	4	3	4	6	4	3	4	3	3	3	4	2	2	4	2	2	3	5	3	3	3	4	3	3	4	4	3	4	3	2	3	4	3	4	2	2	2	3	2	3	2	3	2	2	2	3	2	2	1	2	2	1	1	1	1	1
	3	6	6	7	7	6	6	7	6	5	5	5	6	6	7	8	8	6	4	5	5	4	4	3	4	4	7	6	4	5	6	4	4	3	3	4	5	5	4	3	4	3	2	3	4	3	4	6	5	3	4	3	3	3	4	3	3	4	2	2	3	5	3	3	3	4	3	3	4	4	3	4	3	2	3	4	3	4	2	2	3	3	2	3	3	3	2	2	2	3	2	3	1	2	2	1	1	1	1	1
	3	6	6	7	7	6	6	7	6	5	5	5	6	6	7	8	8	6	4	5	5	4	4	3	5	5	7	7	4	6	6	4	4	3	3	4	5	5	4	3	4	3	2	3	4	3	4	6	5	3	4	3	3	3	4	3	3	4	3	2	3	5	3	3	3	5	4	3	4	4	4	4	3	2	3	4	3	4	2	2	3	3	2	3	3	3	2	2	2	3	2	3	2	3	2	1	1	1	1	1
	3	6	6	7	7	6	6	7	6	5	5	5	6	6	7	8	8	6	4	5	5	4	4	3	5	5	7	7	5	6	6	4	4	4	4	4	6	5	4	3	4	3	2	3	4	3	4	6	5	4	4	3	3	3	4	3	3	4	3	2	3	6	3	3	3	5	4	3	4	4	4	4	3	2	4	5	3	4	2	2	3	3	3	3	3	3	2	2	2	3	2	3	2	3	3	1	1	1	1	1
	3	6	6	7	7	6	6	7	6	5	5	5	6	6	7	8	8	6	4	5	5	4	4	3	5	5	7	7	5	6	6	4	4	4	4	5	6	6	4	4	4	3	2	3	5	3	5	6	5	4	4	3	3	3	4	3	3	4	3	2	3	6	4	3	3	5	4	3	4	4	4	4	4	2	4	5	3	4	2	2	3	3	3	3	4	4	2	2	2	3	2	3	2	3	3	2	1	1	1	1
	3	6	6	7	7	6	6	7	6	5	5	5	6	6	7	8	8	6	4	5	5	4	4	3	5	5	7	7	5	7	6	4	4	4	4	5	6	6	5	4	4	3	2	3	5	4	5	7	5	4	4	3	4	4	4	3	3	4	3	2	3	6	4	3	3	5	4	3	4	4	4	4	4	3	4	5	3	4	2	2	3	3	3	4	4	4	3	2	2	3	2	3	2	3	3	2	2	1	1	1
	3	6	6	7	7	6	6	7	6	5	5	5	6	6	7	8	8	6	5	5	5	4	4	3	5	5	7	7	5	7	6	4	4	4	4	5	6	7	5	4	4	3	2	4	5	4	5	7	6	4	4	3	4	4	4	4	3	4	3	2	3	6	4	4	4	5	4	3	4	4	4	4	4	3	4	5	3	4	2	2	3	3	3	4	4	4	3	3	2	3	2	3	3	3	3	2	2	2	1	1
	3	6	6	7	7	6	6	7	7	5	5	5	6	6	7	8	8	6	5	5	5	4	4	3	5	5	7	8	5	7	6	4	5	4	4	5	6	7	5	4	4	3	2	4	5	4	5	7	6	4	4	3	4	4	5	4	4	5	3	2	3	6	5	4	4	5	4	3	4	4	4	4	4	3	4	5	3	4	2	2	3	3	3	4	4	4	3	3	3	3	2	4	3	3	3	2	2	2	2	1
	3	6	6	7	7	6	6	8	7	5	5	5	6	6	7	8	8	6	5	5	5	4	5	3	5	5	8	8	5	7	6	4	5	4	4	5	6	7	5	4	4	3	2	4	5	5	5	7	6	4	4	4	4	4	5	4	4	5	3	2	3	6	5	4	4	5	5	4	4	4	4	4	4	3	4	5	3	4	3	2	3	4	3	4	4	4	3	3	3	3	2	4	3	3	3	2	2	2	2	2
	3	6	6	7	7	6	7	8	7	5	5	5	6	6	7	9	8	6	5	5	5	5	5	3	5	5	8	8	5	7	6	4	5	4	4	6	6	7	5	4	4	3	3	4	5	5	5	7	6	4	4	4	4	4	5	4	4	5	3	2	3	6	5	4	4	6	5	4	4	4	4	5	4	3	4	5	4	4	3	2	3	4	3	4	4	4	3	3	3	4	2	4	3	3	3	2	2	2	3	2
	3	6	6	7	7	7	7	8	7	5	5	5	6	6	8	9	8	6	5	5	6	5	5	3	5	5	9	8	5	7	6	4	5	4	4	6	6	7	5	4	4	3	3	5	5	5	5	7	6	4	4	4	4	4	5	4	4	5	3	2	3	7	5	4	5	6	5	4	4	4	4	5	4	3	4	5	4	4	3	3	3	4	3	4	4	4	4	3	3	4	2	4	3	3	3	2	2	3	3	2
	3	6	6	7	8	7	8	8	7	5	6	5	6	6	8	9	9	6	5	5	6	5	5	3	5	5	9	8	5	7	6	4	6	4	4	6	6	7	5	4	4	3	3	5	5	5	5	7	6	4	5	4	4	5	5	4	4	5	3	2	3	7	5	4	5	6	5	4	4	5	4	5	4	3	4	5	4	4	3	3	3	4	3	4	4	5	4	3	3	4	2	4	3	3	3	2	3	3	3	2
	3	6	6	8	8	7	8	9	7	5	6	6	6	6	8	9	9	7	5	5	6	5	6	3	5	5	9	8	5	7	6	4	6	4	4	6	6	7	5	4	5	3	3	5	5	5	5	7	6	4	5	4	5	5	5	4	4	5	4	2	3	7	5	4	5	6	5	4	4	5	4	5	4	3	5	5	4	4	3	3	3	4	3	4	4	5	4	3	3	4	2	4	3	3	3	3	3	3	3	2
	3	7	6	8	8	7	8	9	8	5	6	6	7	6	8	9	9	7	5	5	6	5	6	3	5	5	9	8	6	7	7	5	6	4	4	6	6	7	5	4	5	3	4	5	5	5	5	7	7	4	5	4	5	5	5	4	4	5	4	2	3	7	5	4	6	6	5	4	4	5	4	5	4	3	5	5	4	4	3	3	3	4	3	4	4	5	4	3	3	4	2	4	3	3	4	3	3	3	3	2
	4	7	6	8	8	7	8	9	8	6	6	7	7	6	8	9	9	7	5	5	7	6	6	3	5	5	9	8	6	8	7	5	6	4	4	6	6	8	5	4	5	4	4	5	5	5	5	7	7	4	5	4	5	6	5	4	4	5	4	2	3	7	5	4	6	6	5	4	4	5	4	5	4	3	5	5	4	4	3	3	3	4	3	4	4	5	4	3	3	4	2	4	3	4	4	3	3	3	3	2
	5	8	6	8	8	7	8	9	8	6	7	7	7	6	8	9	9	7	6	6	7	7	6	3	5	5	9	8	7	8	8	5	6	4	4	6	6	8	5	4	5	4	4	6	5	5	5	7	7	4	5	4	5	6	5	4	4	5	4	2	3	7	5	4	6	6	5	4	4	5	4	5	4	3	5	5	4	4	3	3	3	4	3	5	4	5	4	3	3	4	2	4	3	4	4	3	3	3	3	2
	5	9	7	8	8	7	8	9	8	7	7	8	7	6	8	9	9	8	6	6	7	7	7	3	5	5	9	8	7	9	8	5	7	4	4	6	6	8	5	4	6	4	4	6	5	5	5	7	7	4	5	4	5	6	5	4	4	5	4	2	3	7	5	4	6	6	5	4	4	5	4	5	4	4	5	5	4	4	3	3	3	4	3	5	4	5	4	3	3	4	2	4	3	4	4	3	3	3	3	2
	5	9	7	9	8	7	8	9	9	7	8	8	8	6	8	9	9	8	6	7	7	7	7	4	5	5	9	9	7	9	8	6	7	4	4	6	6	8	5	4	6	4	4	6	5	5	5	7	7	4	6	4	5	6	5	4	4	5	4	2	3	7	5	4	7	6	5	4	4	5	4	5	4	4	5	5	4	4	3	3	3	4	3	5	4	5	4	3	3	4	2	4	3	4	4	3	3	3	3	2
	5	9	7	9	9	7	8	9	9	8	8	8	8	7	8	9	9	9	6	7	8	7	8	4	5	5	9	9	7	9	8	6	7	4	4	6	7	8	5	4	6	4	5	6	5	5	5	7	7	4	6	4	5	7	5	4	4	5	4	2	4	7	5	4	7	6	5	4	4	5	4	5	4	4	5	5	4	4	3	3	3	4	3	5	4	5	4	3	3	4	2	4	3	4	4	3	3	3	3	2
	5	9	7	9	9	7	8	9	10	8	8	8	8	7	9	9	9	9	6	7	8	7	8	4	6	5	9	10	7	9	9	7	7	4	4	6	7	8	5	4	6	4	5	7	5	5	6	7	7	4	6	5	5	7	5	4	4	5	4	2	4	7	5	4	7	6	5	4	4	5	5	5	4	4	5	5	4	4	3	3	3	4	3	5	4	5	4	3	3	4	2	4	3	4	4	3	3	3	3	2
	5	9	7	9	9	7	8	9	10	8	8	8	8	7	9	10	9	10	6	7	8	7	8	4	6	6	9	10	7	9	9	7	8	4	4	6	8	8	5	4	7	4	6	7	5	5	6	7	7	4	6	5	5	7	5	4	5	5	4	2	4	8	5	4	7	6	5	4	4	5	5	5	4	4	5	5	4	4	3	3	4	4	3	5	4	5	4	3	3	4	2	4	3	4	4	3	3	3	3	2
	5	9	7	9	9	7	8	9	10	8	8	8	8	7	9	10	10	10	6	7	8	7	8	4	6	6	9	11	7	9	9	7	8	5	5	6	8	8	5	4	7	4	6	7	5	5	7	7	7	4	7	6	5	7	5	4	5	6	4	2	5	8	5	4	7	6	5	4	4	5	5	5	4	4	5	5	4	4	3	3	4	4	3	5	4	5	4	3	3	4	3	4	3	4	4	3	3	3	3	2
	5	9	7	9	9	7	8	9	10	8	8	8	8	7	9	10	10	10	6	7	8	7	8	5	6	6	10	11	7	9	9	7	8	5	5	6	9	8	5	4	7	5	6	7	6	5	7	7	7	4	7	6	5	7	5	4	6	6	4	2	5	9	5	4	7	6	5	5	4	5	6	5	4	4	5	5	4	4	3	3	4	4	3	5	4	5	4	3	3	4	3	5	3	4	4	3	3	3	3	2
	5	9	7	9	9	7	8	9	10	8	8	8	9	7	9	10	10	10	6	7	8	7	8	5	6	6	10	11	7	9	10	7	8	5	5	7	9	8	5	4	7	5	6	7	6	5	8	7	7	4	7	6	5	7	6	5	6	6	4	2	5	9	6	4	7	6	6	5	4	5	6	5	4	4	5	5	4	4	3	3	5	4	4	5	4	5	4	3	3	4	3	5	3	4	4	3	3	3	3	2
	5	9	7	9	9	7	8	9	10	8	8	9	9	7	9	10	10	10	6	7	8	8	8	5	6	6	10	11	7	9	10	7	8	5	6	7	9	8	5	4	7	5	6	7	6	6	8	8	7	4	7	6	5	7	6	5	6	6	4	2	5	9	6	5	7	7	6	5	4	5	6	5	5	4	5	6	4	4	3	3	5	4	4	5	4	5	4	3	3	4	4	5	3	4	4	3	3	3	3	2
	5	10	7	9	9	7	8	9	10	8	9	9	9	7	9	10	10	10	6	7	8	8	8	5	7	6	10	11	7	9	10	7	8	5	6	7	9	8	5	4	7	5	6	7	7	6	8	8	8	4	7	6	6	7	6	5	6	6	4	2	5	9	6	5	7	7	6	5	4	5	6	6	5	4	6	6	4	4	3	3	5	4	4	5	4	6	4	3	3	4	4	6	3	4	4	3	3	3	3	2
	6	10	7	9	9	7	8	9	10	8	9	9	9	7	10	10	10	10	6	7	9	8	8	5	7	6	10	11	7	9	10	7	8	5	6	7	9	8	6	4	7	5	6	8	7	6	8	8	8	4	7	6	6	8	6	5	6	6	4	2	5	9	6	5	7	7	6	5	4	5	6	6	5	4	6	6	4	4	3	3	5	5	5	5	5	6	5	3	3	4	4	6	3	4	4	3	3	3	3	2
	6	11	7	9	9	8	8	9	10	8	9	9	9	7	10	10	10	10	6	7	9	8	8	5	7	6	10	11	7	9	11	7	8	5	6	7	9	8	6	5	7	5	7	8	7	6	8	8	8	4	7	6	6	8	6	5	6	6	4	2	5	9	6	5	8	7	6	5	4	5	7	6	5	4	6	6	4	4	3	3	5	5	5	5	5	6	5	4	3	4	4	6	4	4	5	3	3	3	3	2
	6	11	8	9	9	8	9	9	10	8	9	9	9	7	10	10	10	10	6	7	9	8	8	5	7	6	10	11	7	9	11	8	8	5	6	7	9	8	6	5	7	6	7	8	7	6	8	8	8	5	7	6	6	8	6	5	6	6	4	2	5	10	6	5	8	8	6	5	4	5	7	6	5	4	6	6	4	5	3	3	5	5	5	5	5	6	5	4	3	4	4	6	4	5	5	4	3	3	3	2
	6	11	8	10	9	8	9	10	10	8	9	9	9	7	10	10	10	10	6	7	9	8	9	5	7	6	10	11	7	9	11	8	8	5	6	7	9	8	6	5	8	6	7	8	7	6	8	8	8	5	7	7	6	8	6	5	6	6	4	3	5	10	6	5	8	8	6	5	4	5	7	6	5	4	6	7	4	5	4	3	5	5	5	5	6	6	6	4	3	4	4	6	4	5	5	4	3	3	3	2
	6	11	8	10	10	8	9	10	11	8	9	9	9	7	10	10	10	10	6	7	9	8	9	5	7	6	10	11	7	9	11	8	9	5	6	7	9	8	6	5	8	6	7	8	7	6	8	8	8	5	8	7	7	8	6	5	6	6	4	3	5	10	6	5	8	8	6	5	5	6	7	6	5	4	6	7	5	5	4	3	5	5	5	5	6	7	6	5	3	4	4	6	4	5	5	4	3	3	3	2
	6	11	8	10	10	9	9	10	11	8	9	9	9	7	10	10	10	10	7	7	9	8	9	5	7	6	10	11	7	9	11	8	9	6	6	7	9	8	6	5	8	6	7	8	7	6	8	8	8	5	8	7	7	9	6	5	6	6	5	3	5	11	6	5	8	8	6	5	5	6	7	6	5	4	6	8	5	6	4	4	5	5	5	5	6	7	6	5	4	4	4	6	4	5	5	4	3	3	3	2
	6	11	8	10	10	9	10	10	11	8	9	9	9	7	10	10	10	10	7	7	9	8	9	5	8	6	10	11	8	9	11	8	9	6	6	7	9	8	6	5	8	6	7	8	8	6	8	8	8	5	8	7	7	9	6	5	6	7	5	3	5	11	6	5	8	9	6	5	6	6	7	7	5	4	6	8	5	6	5	4	5	5	5	5	6	7	6	5	4	5	4	6	4	5	5	4	3	3	3	2
